Time (s),Entropy
61.28,2.3884
61.67,2.6332
61.77,2.7905
61.86,2.5955
61.91,2.0822
61.98,1.9438
62.02,2.0822
62.11,2.6261
62.2,2.8282
62.27,2.1855
62.32,2.0822
62.39,2.1822
62.69,2.5955
62.75,2.3087
62.83,2.4087
62.89,2.1822
62.95,2.22
63.03,2.4087
63.1,2.3884
63.19,2.5261
63.28,2.5261
63.64,2.2261
63.71,2.171
63.78,2.1822
63.87,2.7905
63.93,2.0855
63.99,2.3087
64.05,2.1822
64.09,1.706
64.17,2.1822
64.26,2.7905
64.67,2.5855
64.76,2.6261
64.84,2.871
64.93,2.5955
65.0,2.4955
65.08,2.4087
65.16,2.4087
65.23,2.5261
65.31,2.7332
65.38,2.3884
65.68,2.5261
65.76,2.5955
65.82,2.1822
65.89,2.3884
65.97,2.4087
66.03,2.3087
66.09,1.9477
66.17,2.5955
66.24,2.3884
66.33,2.8955
66.69,2.7905
66.8,2.8955
66.88,2.5261
66.94,2.171
67.04,2.7905
67.11,2.0855
67.18,2.4087
67.24,2.0822
67.67,2.3905
67.75,2.5955
67.82,2.5955
67.89,2.3884
67.97,2.3087
68.03,1.9438
68.08,2.0822
68.15,1.9438
68.21,2.3884
68.63,1.6477
68.71,2.4087
68.79,2.4464
68.87,2.7905
68.92,2.0822
69.0,2.4087
69.06,1.706
69.11,2.1822
69.18,2.1822
69.23,2.0822
69.7,2.9332
69.77,2.5955
69.83,1.9477
69.91,2.1822
69.96,1.706
70.03,2.1822
70.07,1.9477
70.14,2.3884
70.22,2.4087
70.31,2.871
70.64,2.0822
70.72,2.4087
70.78,2.1822
70.85,2.3884
70.92,1.9477
71.0,2.5261
71.07,2.5955
71.13,2.3884
71.21,2.5261
71.28,2.4087
71.69,2.4087
71.74,2.0855
71.8,2.3087
71.88,2.1822
71.92,1.706
72.0,2.1822
72.06,1.9477
72.13,2.3884
72.2,2.1822
72.26,1.9477
72.67,2.4955
72.73,2.1822
72.8,2.32
72.89,2.6905
72.98,2.5955
73.05,1.9477
73.12,2.5261
73.18,2.1822
73.25,1.9477
73.3,1.9477
73.61,2.6282
73.69,2.6905
73.75,2.1822
73.81,2.1822
73.88,2.3884
73.94,1.9477
74.02,2.5261
74.07,2.1822
74.15,2.5955
74.22,2.4464
74.28,2.0855
74.67,2.5261
74.74,2.1822
74.81,2.1822
74.89,2.5955
74.97,2.3884
75.05,2.3884
75.13,2.1822
75.19,1.9477
75.25,1.9477
75.3,1.9477
75.63,2.0884
75.71,2.4087
75.78,2.5261
75.87,2.5955
75.92,1.9477
76.02,2.871
76.09,2.5261
76.17,2.4087
76.23,2.0822
76.31,2.4087
76.65,2.5955
76.7,1.9477
76.78,2.3087
76.86,2.6261
76.92,2.3087
76.99,2.3884
77.06,2.1822
77.13,1.9477
77.19,2.1822
77.29,2.871
77.65,2.0822
77.74,2.4087
77.79,2.3087
77.87,2.5955
77.95,2.1822
78.05,2.5955
78.11,2.3884
78.18,2.3884
78.28,2.871
78.7,2.4639
78.75,2.0855
78.8,2.0822
78.9,2.6261
78.95,2.0855
79.01,1.9477
79.09,2.5261
79.16,2.4087
79.25,2.871
79.66,2.4955
79.74,2.6261
79.84,2.7332
79.92,2.8282
79.99,2.4087
80.04,2.0822
80.13,2.4087
80.22,2.5955
80.28,2.171
80.65,2.3087
80.72,1.9477
80.79,2.1822
80.87,2.5955
80.95,2.3884
81.02,2.3884
81.1,2.5955
81.17,2.1822
81.25,2.7332
81.32,2.3884
81.7,2.4087
81.77,2.0855
81.85,2.5261
81.93,2.5261
82.0,2.3884
82.09,2.5261
82.16,2.1822
82.22,1.9477
82.27,1.9477
82.34,2.1822
82.67,2.0884
82.74,2.1822
82.81,2.3884
82.87,1.9477
82.97,2.871
83.04,2.4087
83.09,1.9477
83.17,2.3884
83.24,2.5955
83.67,1.9477
83.73,1.9477
83.81,2.5261
83.88,2.1822
83.95,2.4087
84.02,2.5261
84.08,2.0855
84.15,2.5261
84.23,1.9477
84.65,2.2955
84.71,1.9477
84.78,2.1822
84.84,1.9477
84.91,1.9477
84.97,2.5261
85.04,2.1822
85.13,2.7905
85.19,2.0855
85.27,2.5261
85.66,2.1822
85.72,2.4955
85.79,2.32
85.86,2.4087
85.92,2.171
86.02,2.5955
86.1,2.1822
86.19,2.5261
86.26,2.3884
86.65,1.9477
86.7,2.1822
86.79,2.871
86.88,2.7905
86.92,1.706
87.0,2.5261
87.07,2.1855
87.11,2.0822
87.17,2.4087
87.64,2.0855
87.71,2.1822
87.77,2.1822
87.82,2.0822
87.89,2.4087
87.97,2.4087
88.03,2.0822
88.1,2.5261
88.17,2.4087
88.22,1.9477
88.66,2.5261
88.73,2.3884
88.8,2.5261
88.89,2.7905
88.96,2.3884
89.04,2.5261
89.12,2.5955
89.19,2.4087
89.65,1.7427
89.7,2.1822
89.78,2.0855
89.85,2.5955
89.91,2.171
89.97,2.1822
90.04,1.9477
90.11,2.3884
90.18,2.1822
90.23,1.9477
90.3,2.1822
90.68,2.5282
90.73,2.0822
90.81,2.0855
90.89,2.6261
90.95,2.4955
91.02,2.1822
91.11,2.5955
91.16,1.9477
91.23,2.3884
91.67,2.5955
91.75,2.4087
91.83,2.5261
91.88,1.9477
91.94,1.9477
92.01,2.4087
92.09,2.5261
92.15,1.9477
92.22,2.0855
92.27,2.171
92.68,2.3884
92.73,2.1822
92.8,2.3884
92.86,2.3884
92.93,1.9438
92.98,2.0855
93.04,2.3087
93.13,2.5955
93.2,2.1822
93.25,2.0855
93.68,2.2834
93.72,1.706
93.8,2.4087
93.89,2.871
93.97,2.5261
94.02,2.1822
94.1,2.5261
94.19,2.5955
94.24,1.9477
94.68,2.3884
94.76,2.5955
94.84,2.5955
94.92,2.5261
94.97,2.1822
95.04,2.3884
95.14,2.871
95.22,2.6261
95.71,2.6282
95.78,2.3884
95.86,2.5955
95.93,2.1822
95.98,1.9477
96.05,2.1822
96.11,2.3087
96.19,2.5955
96.24,1.9477
96.68,2.5955
96.74,2.1822
96.84,2.7905
96.89,2.0822
96.97,2.5955
97.05,2.5261
97.15,2.871
97.21,2.3087
97.28,2.3884
97.36,2.1822
97.67,1.9477
97.73,2.1822
97.79,2.0855
97.86,2.3884
97.92,2.3087
98.0,2.7905
98.08,2.5261
98.15,2.1822
98.2,1.9477
98.64,1.7822
98.7,1.9477
98.77,2.1822
98.84,2.4464
98.91,2.5261
98.97,2.1822
99.03,2.5261
99.13,2.7332
99.21,2.1822
99.28,2.3884
99.36,2.4087
99.66,1.8395
99.73,2.1822
99.81,2.5261
99.88,2.7905
99.94,2.171
100.0,2.1822
100.05,1.9477
100.12,2.3087
100.2,2.7905
100.66,1.871
100.73,2.0855
100.81,2.6261
100.85,2.0822
100.92,2.1822
101.0,2.0855
101.06,2.5955
101.14,2.3087
101.22,2.6261
101.64,2.4464
101.68,1.9477
101.75,2.1822
101.81,2.1822
101.87,2.5527
101.94,2.1822
102.0,2.1822
102.06,2.171
102.15,2.871
102.24,2.4087
102.66,2.171
102.72,2.1822
102.77,1.9477
102.87,2.7332
102.92,2.1822
102.98,1.9477
103.04,1.9477
103.11,2.1822
103.15,1.706
103.22,2.1822
103.68,2.2955
103.76,2.4464
103.85,2.6261
103.92,2.6905
103.98,2.1822
104.05,2.0855
104.14,2.7905
104.18,2.0822
104.27,2.5261
104.69,2.4332
104.75,1.9438
104.85,2.871
104.92,2.3087
104.99,2.4087
105.04,1.8438
105.11,2.4087
105.19,2.3087
105.24,2.1822
105.68,1.9464
105.73,2.0822
105.81,2.5261
105.88,2.4087
105.91,1.706
106.0,2.4087
106.08,2.8282
106.13,1.9477
106.2,2.1822
106.63,2.2464
106.71,2.5261
106.78,2.1822
106.85,2.5955
106.92,2.3884
106.98,2.0855
107.08,2.7905
107.13,2.0822
107.2,2.1822
107.26,2.1822
107.31,2.0822
107.68,2.2464
107.73,2.3087
107.8,2.1855
107.87,2.3087
107.92,1.9477
107.98,1.9477
108.03,2.1822
108.1,2.1822
108.17,2.3087
108.23,1.9477
108.31,2.1822
108.68,2.1822
108.74,2.3884
108.8,1.9477
108.91,2.871
108.96,2.0855
109.03,2.5261
109.1,2.4087
109.16,1.9477
109.23,2.3884
109.29,1.9438
109.63,2.571
109.69,2.0822
109.76,2.5955
109.85,2.5261
109.91,2.1822
109.98,2.3884
110.06,2.5955
110.16,2.5955
110.25,2.5955
110.63,2.0822
110.71,2.4087
110.77,2.3884
110.85,2.5955
110.92,2.3884
110.99,1.9438
111.07,2.5261
111.14,2.3087
111.2,2.1822
111.25,1.9477
111.65,1.9477
111.72,2.5261
111.79,2.5955
111.87,2.5261
111.93,2.0855
