Time (s),Entropy
15.4400,2.4583
15.5700,2.4478
15.7100,2.4526
15.8300,2.4451
16.1200,2.4602
16.2900,2.4534
16.4400,2.4571
16.5900,2.4499
16.7400,2.4515
17.2500,2.4542
17.4000,2.3113
17.5500,2.4022
17.7000,2.4809
18.1400,2.6533
18.3000,2.5334
18.4700,2.4632
18.6000,2.4402
19.1700,2.5155
19.3500,2.6138
19.5200,2.6138
19.7200,2.6631
20.2900,2.5943
20.4900,2.7011
20.6600,2.6138
20.8400,2.5392
21.2100,2.5685
21.3700,2.4632
21.5400,2.4809
21.7100,2.6138
22.2000,2.4658
22.3500,2.5012
22.5100,2.5523
22.7100,2.7011
23.2400,2.6408
23.4300,2.7329
23.5900,2.4022
23.7300,2.4022
24.2100,2.4809
24.3600,2.4560
24.5300,2.5772
24.6900,2.5392
25.1500,2.4022
25.2800,2.3603
25.4700,2.5845
25.6500,2.5772
26.1400,2.6151
26.3200,2.6138
26.5200,2.7329
26.6900,2.5772
27.2300,2.5709
27.4200,2.7329
27.5800,2.5772
27.8000,2.6269
28.2100,2.5436
28.3800,2.5334
28.5800,2.7580
28.7500,2.6269
29.2600,2.6876
29.4400,2.6619
29.5800,2.5392
29.7800,2.7011
30.2900,2.6631
30.4500,2.5772
30.6500,2.6619
30.8100,2.4238
31.2800,2.7913
31.4500,2.5772
31.6400,2.5334
31.8000,2.4632
32.2600,2.6619
32.4300,2.5772
32.6100,2.6138
33.1300,2.4179
33.2900,2.5772
33.4800,2.5334
33.6300,2.4632
34.1800,2.6717
34.4000,2.7580
34.5700,2.5772
34.7600,2.7329
35.2900,2.7644
35.4800,2.6269
35.6100,2.3773
35.7900,2.5334
36.2100,2.6138
36.3700,2.5523
36.5300,2.4402
36.6700,2.4022
37.1500,2.6138
37.3000,2.5392
37.4700,2.6138
37.6500,2.7329
38.1200,2.4022
38.3100,2.6619
38.4800,2.5772
38.6600,2.6631
39.1400,2.4022
39.3100,2.7011
39.4900,2.5845
39.6900,2.7329
40.2300,2.6297
40.3800,2.6138
40.5600,2.5889
41.1300,2.6440
41.3200,2.5845
41.5100,2.7011
41.7000,2.6619
42.2300,2.6583
42.4100,2.6297
42.5700,2.6138
42.7500,2.6138
43.2300,2.7178
43.4100,2.5392
43.5900,2.5334
43.7600,2.7011
44.1900,2.7011
44.4000,2.7981
44.5900,2.6269
44.7600,2.4940
45.2500,2.5917
45.4400,2.7580
45.6000,2.3925
46.1200,2.5392
46.3300,2.8089
46.5000,2.7011
46.6500,2.3773
47.1300,2.5392
47.2700,2.3113
47.4600,2.7329
47.5900,2.2539
47.7600,2.5772
48.1800,2.4783
48.4200,2.7770
48.5500,2.3773
48.7500,2.4809
49.1300,2.4022
49.2700,2.5392
49.4500,2.6138
49.6600,2.6138
50.1600,2.5232
50.3200,2.5567
50.5000,2.6269
50.6400,2.4940
51.1300,2.6448
51.2600,2.2539
51.4200,2.5392
51.5700,2.5334
52.1200,2.4251
52.3100,2.6631
52.4900,2.6138
52.6800,2.4809
52.8300,2.5012
53.2300,2.6448
53.4100,2.7329
53.6200,2.7329
54.1500,2.5319
54.3000,2.5523
54.5000,2.6619
54.6600,2.3925
55.1300,2.5970
55.3200,2.6619
55.5100,2.7011
55.6500,2.4022
56.2200,2.8089
56.3900,2.4940
56.5300,2.4238
56.7200,2.5772
57.2200,2.4107
57.4100,2.7329
57.5900,2.4809
57.7800,2.6631
58.2900,2.4809
58.4400,2.6138
58.5900,2.4022
58.7600,2.5392
59.2500,2.5392
59.4200,2.4809
59.5400,2.3223
59.7000,2.6138
60.2400,2.5432
60.4000,2.4560
60.5800,2.5012
61.1400,2.6264
61.3400,2.7770
61.5400,2.7580
61.7000,2.4560
62.2100,2.3603
62.3700,2.4809
62.5100,2.4022
62.6700,2.5392
63.2100,2.5685
63.3900,2.4809
63.5700,2.5392
63.7400,2.6138
64.1700,2.5534
64.3900,2.8089
64.5200,2.2791
64.7000,2.4809
65.1400,2.8089
65.2900,2.6297
65.5000,2.7857
65.6500,2.5392
66.1800,2.6631
66.3300,2.4022
66.4900,2.4809
66.6300,2.4022
66.8000,2.5392
67.2800,2.6264
67.4600,2.5392
67.6400,2.5772
68.1900,2.6669
68.3700,2.5889
68.5400,2.5392
68.7100,2.6138
69.2400,2.7003
69.3800,2.4238
69.5600,2.6138
69.7500,2.6619
70.2300,2.5543
70.3700,2.4022
70.5700,2.8089
70.7400,2.5523
71.2100,2.7011
71.4200,2.7329
71.5600,2.3925
71.7400,2.6297
