Time (s),Entropy
11.53,2.4960000000000004
11.81,2.4960000000000004
12.27,2.4960000000000004
12.65,2.4960000000000004
13.28,2.4960000000000004
13.62,2.4960000000000004
14.26,2.4960000000000004
14.65,2.4960000000000004
15.2,2.4960000000000004
15.57,2.4960000000000004
16.18,2.4992
16.58,2.7329
17.17,2.6346
17.51,2.611
18.14,2.5981
18.52,2.7011
19.14,2.6101
19.47,2.576
20.15,2.5353
20.46,2.4538
21.14,2.5565
21.44,2.4992
22.11,2.6027
22.45,2.6152
23.1,2.4864
23.41,2.502
23.74,2.5323
24.37,2.6462
24.71,2.6285
25.34,2.4992
25.69,2.5525
26.39,2.6491
27.1,2.5565
27.46,2.6285
28.06,2.6381
28.44,2.7011
29.09,2.5905
29.47,2.6285
29.79,2.576
30.39,2.6479
31.13,2.7262
31.45,2.571
32.1,2.4796
32.46,2.6663
33.11,2.5735
33.48,2.6663
34.16,2.6897
34.52,2.5919
35.16,2.6853
35.5,2.5164
36.2,2.5966
36.58,2.5565
37.24,2.512
37.6,2.6483
38.16,2.5588
38.48,2.4992
39.16,2.6716
39.51,2.576
40.18,2.5565
40.57,2.6825
41.12,2.4796
41.45,2.576
42.12,2.6483
42.46,2.5588
43.08,2.642
43.46,2.6338
44.15,2.538
44.49,2.5737
45.16,2.5754
45.5,2.5775
46.11,2.6344
46.46,2.5938
47.11,2.5981
47.49,2.5737
48.16,2.6681
48.55,2.7329
49.25,2.6285
49.65,2.5919
50.23,2.5
50.56,2.5938
51.21,2.6591
51.52,2.4992
52.24,2.6285
52.6,2.6483
53.27,2.6995
53.68,2.7851
54.39,2.5846
54.67,2.3946
55.24,2.6571
55.63,2.7329
56.25,2.5565
56.57,2.5406
57.27,2.5938
57.62,2.571
58.3,2.5353
58.65,2.5938
59.29,2.576
59.67,2.6677
60.4,2.6743
60.69,2.4736
61.44,2.787
62.12,2.4086
62.44,2.538
63.13,2.4927
63.48,2.611
64.14,2.5539
64.48,2.5353
65.16,2.4538
65.54,2.5323
66.2,2.6152
66.49,2.4736
67.15,2.5206
67.5,2.5565
68.13,2.7204
68.48,2.576
69.13,2.5353
69.47,2.5588
70.21,2.6139
70.55,2.5938
71.14,2.6285
71.5,2.5588
72.17,2.7219
72.53,2.6491
73.21,2.6285
73.56,2.6285
74.27,2.6381
74.61,2.5938
75.32,2.5565
75.64,2.5981
76.32,2.642
76.65,2.5565
77.28,2.5565
77.65,2.758
78.32,2.5473
78.61,2.48
79.26,2.576
79.64,2.5919
80.29,2.7103
80.61,2.4393
81.22,2.614
81.58,2.6324
82.31,2.7243
82.71,2.7329
83.33,2.5353
83.66,2.4736
84.3,2.5938
84.69,2.758
85.36,2.6483
85.67,2.5353
86.35,2.512
86.75,2.7462
87.39,2.6716
87.71,2.5103
88.34,2.4579
88.67,2.5938
89.37,2.6571
89.8,2.7179
90.44,2.7219
91.16,2.5323
91.49,2.5737
92.27,2.7439
92.59,2.4592
93.29,2.6491
93.57,2.3711
94.35,2.7629
95.08,2.642
95.44,2.7007
95.74,2.4736
96.36,2.6381
97.11,2.6407
97.49,2.6853
98.14,2.628
98.46,2.576
99.2,2.6197
99.54,2.6285
100.21,2.6462
100.53,2.5103
101.17,2.6681
101.53,2.5737
102.14,2.4384
102.52,2.6285
103.21,2.5588
103.51,2.4366
104.15,2.7464
104.56,2.7179
105.15,2.48
105.54,2.6663
106.2,2.5421
106.53,2.576
107.17,2.6663
107.54,2.614
108.22,2.5673
108.6,2.6491
109.23,2.5185
109.61,2.7011
110.35,2.767
110.71,2.6825
111.38,2.5353
111.67,2.5208
111.85,1.5858
111.93,1.0
112.02,0.9896
112.12,1.1793
112.19,1.6828
112.26,1.5435
112.36,1.4524
112.42,1.6822
112.46,1.1935
112.55,1.7041
112.61,1.4918
112.69,1.7034
112.75,1.5166
112.79,1.3275
112.88,1.7017
112.94,1.4234
113.07,1.591
113.17,1.5505
113.25,1.5848
113.33,1.6032
113.37,1.6334
113.45,1.6533
113.52,1.5435
113.61,1.5422
113.68,1.6133
113.75,1.6124
113.83,1.6133
113.88,1.6096
113.94,1.3716
114.02,1.5441
114.1,1.127
114.16,1.1825
114.23,1.3323
114.31,1.4115
114.35,1.5917
114.43,1.5263
114.46,1.6296
114.51,1.3578
114.6,1.6199
114.67,1.5109
114.71,1.6124
114.78,1.4966
114.84,1.4966
114.9,1.5538
114.97,1.4349
115.01,1.0649
115.08,0.9858
115.16,1.1118
115.18,1.4909
115.26,1.1508
115.33,1.6056
115.37,1.4299
115.43,1.5186
115.53,1.4517
115.6,1.6124
115.67,1.4994
115.75,1.6032
115.81,1.5403
115.86,1.6488
115.95,1.5545
116.02,1.6179
116.06,1.3926
116.14,1.5593
116.23,1.6048
116.29,1.5435
116.38,1.6589
116.45,1.6179
116.49,1.5102
116.57,1.6133
116.62,1.463
116.67,1.3933
116.75,1.5557
116.85,1.5848
116.92,1.5302
116.99,1.0711
117.05,0.9954
117.1,0.8932
117.15,1.3063
117.21,1.3488
117.25,1.4684
117.3,1.252
117.35,1.4793
117.42,1.4317
117.5,1.5109
117.54,1.5421
117.6,1.6383
117.64,1.3415
117.73,1.5084
117.79,1.6012
117.86,1.6544
117.92,1.4013
117.99,1.6308
118.03,1.2964
118.07,1.1649
118.11,1.1403
118.17,1.3263
118.22,1.4165
118.27,1.5933
118.32,1.494
118.39,1.4918
118.44,1.6056
118.5,1.3967
118.56,1.6021
118.62,1.5328
118.69,1.6108
118.77,1.6346
118.84,1.4868
118.9,1.5401
119.06,1.7015
119.16,1.3749
119.22,1.6553
119.3,1.4211
119.37,1.7591
119.43,1.4746
119.49,1.4745
119.59,1.516
119.65,1.6828
119.73,1.5933
119.8,1.591
119.89,1.571
119.94,1.5622
119.98,1.4565
120.05,1.1367
120.13,1.0829
120.21,1.1452
120.3,1.3686
120.36,1.4766
120.43,1.5917
120.5,1.4484
120.57,1.4703
120.64,1.4943
120.7,1.6884
120.73,1.5961
120.78,1.4176
120.82,1.248
120.9,1.4034
120.92,1.522
120.97,1.5479
121.03,1.3628
121.1,1.0672
121.15,1.1449
121.18,1.3288
121.23,1.4234
121.27,1.2382
121.32,1.4759
121.39,1.3288
121.42,1.617
121.48,1.3375
121.58,1.7217
121.66,1.6271
121.72,1.3834
121.8,1.581
121.86,1.5698
121.96,1.4621
122.01,1.0918
122.08,0.9988
122.15,1.1913
122.21,1.5412
122.25,1.5429
122.3,1.4409
122.37,1.7041
122.45,1.7802
122.53,1.6133
122.59,1.5435
122.66,1.5154
122.74,1.7202
122.8,1.5172
122.88,1.5653
122.94,1.6085
122.99,1.4592
123.06,1.0496
123.13,1.1859
123.19,1.6133
123.29,1.7159
123.35,1.4896
123.41,1.4023
123.47,1.5875
123.52,1.5071
123.61,1.7241
123.68,1.6622
123.76,1.6124
123.85,1.6324
123.91,1.6056
123.99,1.4946
124.02,1.1203
124.07,1.0
124.15,1.0986
124.24,1.2423
124.31,1.4392
124.39,1.5477
124.46,1.4839
124.51,1.4484
124.55,1.3318
124.61,1.5932
124.64,1.5629
124.68,1.4242
124.72,1.615
124.8,1.3915
124.85,1.5898
124.94,1.3674
125.0,1.0584
125.04,0.9044
125.09,1.0
125.13,1.0672
125.17,1.2119
125.22,1.3578
125.27,1.4178
125.34,1.4505
125.38,1.5346
125.44,1.4684
125.49,1.5308
125.57,1.5641
125.61,1.4668
125.71,1.5209
125.78,1.6056
125.84,1.4242
125.9,1.7493
125.98,1.4677
126.12,1.7872
126.18,1.7438
126.28,1.7506
126.34,1.5232
126.45,1.6238
126.54,1.6714
126.58,1.5068
126.64,1.6834
126.7,1.4868
126.78,1.6733
126.84,1.5469
126.91,1.4524
127.0,0.9858
127.05,0.7415
127.11,0.9954
127.19,1.1751
127.24,1.3304
127.3,1.4505
127.36,1.4499
127.43,1.4766
127.47,1.4434
127.5,1.5263
127.52,1.3765
127.54,1.0499
127.59,1.2918
127.64,1.5078
127.71,1.3306
127.79,1.6766
127.87,1.5717
127.97,1.5813
128.06,1.062
128.13,1.1901
128.2,1.6416
128.26,1.4943
128.36,1.6255
128.41,1.5354
128.46,1.4665
128.52,1.5781
128.6,1.6966
128.68,1.6766
128.73,1.5232
128.82,1.5032
128.91,1.5832
129.01,1.5441
129.07,1.0543
129.13,1.0496
129.21,1.2681
129.27,1.2069
129.34,1.5219
129.41,1.4486
129.46,1.4505
129.56,1.4379
129.61,1.5222
129.66,1.502
129.72,1.6161
129.79,1.4906
129.87,1.5583
129.93,1.4499
129.99,1.5698
130.04,1.4972
130.09,1.0447
130.15,1.1903
130.19,1.3813
130.25,1.4839
130.32,1.5172
130.39,1.6332
130.44,1.6393
130.51,1.5463
130.57,1.6553
130.67,1.4868
130.75,1.5979
130.82,1.6183
130.87,1.5294
130.91,1.3915
130.95,1.4665
131.07,1.4668
131.12,1.062
131.22,1.3704
131.27,1.2101
131.35,1.2573
131.41,1.1367
131.5,0.9928
131.57,1.1108
131.63,1.0672
131.7,1.1625
131.76,1.1829
131.85,1.0584
131.94,1.1203
132.0,1.0584
132.09,1.303
132.18,1.5018
132.23,1.4299
132.28,1.4524
132.34,1.4486
132.38,1.4299
132.43,1.2885
132.51,1.6136
132.55,1.4299
132.6,1.5979
132.69,1.5621
132.78,1.4918
132.86,1.5219
132.91,1.4943
132.97,1.3415
133.06,1.5102
133.15,1.1367
133.2,1.3661
133.28,1.2919
133.34,1.3323
133.37,1.3518
133.42,1.3353
133.49,1.3119
133.57,1.602
133.63,1.5268
133.67,1.5885
133.71,1.4839
133.75,1.5109
133.78,1.2582
133.83,1.3307
133.87,1.4234
133.9,1.474
133.99,1.4943
134.12,1.9242
134.21,1.618
134.3,1.5848
134.38,1.6628
134.41,1.4558
134.5,1.5858
134.57,1.581
134.61,1.4214
134.7,1.5557
134.76,1.5858
134.86,1.6446
134.93,1.3738
135.01,0.9507
135.07,0.8932
135.13,0.9815
135.19,1.127
135.24,1.3118
135.29,1.4074
135.35,1.4013
135.42,1.4022
135.48,1.4013
135.55,1.4593
135.58,1.5209
135.6,1.5487
135.62,1.2135
135.64,1.3633
135.73,1.268
135.77,1.6212
135.85,1.5635
135.86,1.4865
135.91,1.0685
136.11,2.065
136.19,1.5441
136.26,1.6212
136.34,1.4668
136.41,1.5799
136.49,1.6608
136.58,1.4724
136.63,1.5779
136.69,1.5209
136.76,1.6589
136.83,1.5603
136.89,1.5212
136.95,1.3441
136.99,1.6687
137.11,1.5147
137.19,1.4115
137.25,1.3323
137.32,1.3998
137.36,1.5783
137.45,1.355
137.5,1.5879
137.53,1.4745
137.57,1.3375
137.63,1.571
137.68,1.5289
137.75,1.5378
137.84,1.593
137.89,1.5745
137.96,1.262
137.99,0.9896
138.04,0.9954
138.1,0.9928
138.18,0.9899
138.24,1.3318
138.31,1.5879
138.34,1.482
138.38,1.4639
138.42,1.3323
138.49,1.6314
138.58,1.591
138.68,1.7742
138.75,1.6792
138.79,1.4965
138.85,1.6488
138.89,1.2805
138.96,1.6769
139.04,0.9974
139.13,1.0672
139.24,1.5128
139.31,1.5917
139.39,1.6567
139.47,1.5889
139.52,1.5109
139.56,1.4559
139.62,1.5302
139.68,1.4734
139.77,1.5328
139.82,1.4286
139.87,1.4483
139.95,1.5861
140.03,1.3399
140.1,0.9507
140.17,1.1649
140.24,1.4524
140.3,1.6383
140.34,1.4486
140.41,1.4839
140.44,1.4972
140.47,1.3511
140.56,1.6399
140.6,1.637
140.68,1.4734
140.75,1.6058
140.82,1.6333
140.89,1.4442
140.95,1.4633
141.02,1.4943
141.07,0.9341
141.17,1.4074
141.23,1.4868
141.27,1.5565
141.35,1.4896
141.41,1.5745
141.49,1.5128
141.56,1.5903
141.62,1.6216
141.69,1.5622
141.78,1.8116
141.85,1.6815
141.92,1.2823
141.97,0.9896
142.04,0.9044
142.1,0.9815
142.14,1.0584
142.18,1.4324
142.23,1.3433
142.29,1.3304
142.36,1.4074
142.41,1.4593
142.49,1.5219
142.56,1.4686
142.61,1.6606
142.64,1.5172
142.71,1.4484
142.77,1.5034
142.82,1.5109
142.88,1.6446
142.94,1.3323
142.99,1.6412
143.03,1.5014
143.17,1.6203
143.26,1.7471
143.32,1.3798
143.37,1.6318
143.44,1.4918
143.51,1.6589
143.57,1.732
143.63,1.5014
143.69,1.5428
143.77,1.5848
143.85,1.6124
143.94,1.6646
144.0,1.1883
144.08,0.9954
144.16,0.855
144.22,1.3861
144.3,1.4061
144.35,1.3507
144.41,1.4549
144.48,1.4972
144.52,1.3778
144.62,1.4461
144.68,1.6332
144.7,1.5498
144.73,1.5239
144.76,1.4349
144.81,1.4597
144.9,1.3786
144.96,1.571
144.99,1.5653
145.04,1.4943
145.11,1.0695
145.15,1.2575
145.18,1.1724
145.23,1.4269
145.31,1.7126
145.39,1.6962
145.48,1.6021
145.56,1.6285
145.66,1.5679
145.72,1.6684
145.81,1.5717
145.88,1.5222
145.95,1.6383
146.01,1.3153
146.06,1.069
146.13,0.9815
146.18,1.33
146.27,1.4442
146.32,1.4028
146.39,1.4909
146.47,1.4839
146.5,1.5365
146.53,1.5621
146.6,1.5039
146.67,1.4765
146.7,1.5622
146.75,1.3861
146.8,1.5131
146.85,1.5308
146.96,1.4525
147.05,0.9858
147.12,1.1211
147.2,1.6956
147.29,1.516
147.38,1.6593
147.47,1.6897
147.53,1.6009
147.58,1.5216
147.63,1.5308
147.7,1.5463
147.78,1.4545
147.84,1.6179
147.91,1.4592
147.99,1.6731
148.05,1.6216
148.1,1.1903
148.14,1.2921
148.22,1.6756
148.31,1.6383
148.36,1.7733
148.43,1.5108
148.5,1.483
148.57,1.5779
148.64,1.4379
